flight,bag_name,window_start_s,window_end_s
raw flight 1,flight_2026-07-01-14-28-47.bag,43.42,63.42
raw flight 2,flight_2026-07-01-14-31-33.bag,39.91,59.91
raw flight 3,flight_2026-07-01-14-34-13.bag,38.23,58.23
