flight,peak_horizontal_velocity_m_s,max_absolute_pitch_rate_rad_s,p99_absolute_pitch_rate_rad_s,pitch_range_deg,max_absolute_pitch_deg,median_horizontal_velocity_m_s,rms_horizontal_velocity_m_s,p95_horizontal_velocity_m_s,percentage_time_vxy_gt_below_0_1_m_s
raw flight 1,0.7937462706987298,1.8976109564394847,1.3004923837745206,7.742889611736909,4.10709854999425,0.36348841474664756,0.36495050730999173,0.5315525908991056,6.260434056761269
raw flight 2,0.6565169827906578,1.6461053728197472,0.7748193375239075,8.799259984595553,5.049354141714195,0.23332116841235911,0.28380642799751515,0.49813437213888423,22.602168473728106
raw flight 3,0.6778585584006162,1.3280112103010084,0.3338344920083454,4.273520321653374,3.2982014164811413,0.1431819153702089,0.27878157791073577,0.5246967188112284,37.646076794657766
