flight,peak_horizontal_velocity_m_s,max_absolute_pitch_rate_rad_s,p99_absolute_pitch_rate_rad_s,pitch_range_deg,max_absolute_pitch_deg
ai flight 1,5.314112497214209,3.6870857158963,2.4991103675093247,72.19860640451235,36.47150400736569
ai flight 2,5.334232010888004,4.96163681515539,3.3516280769224083,68.85436911253848,35.492361728961434
ai flight 3,4.196161590795737,4.192495318564252,2.569000854846144,60.59582957435956,32.54123392048383
ai flight 4,4.5698037097406665,3.3645481339975305,2.2621741338682977,63.12580028998878,31.664655306115996
