duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Peak absolute Y velocity,0.6612049051545377,m/s,2394,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Maximum absolute pitch rate,1.856330419198665,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,P99 absolute pitch rate,0.9155364549765052,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,P99 absolute yaw rate,133.89949896945245,degrees/s,1723,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Minimum roll angle,0.2353005259215588,degrees,2396,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Maximum roll angle,9.346144650682545,degrees,2396,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Peak absolute roll angle,9.346144650682545,degrees,2396,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Minimum relative pitch angle,-4.051797960905375,degrees,2396,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Maximum relative pitch angle,7.889334418679024,degrees,2396,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Maximum absolute pitch angle,8.465668029871212,degrees,2396,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Maximum absolute yaw excursion,4.956945973540821,degrees,2396,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Yaw range,6.414219272310593,degrees,2396,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Median horizontal velocity,0.2774224312247917,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,P95 horizontal velocity,0.4457158543459963,m/s,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-31-33.bag,raw_flight_2,39.91,59.91,20.0,Percentage of time with horizontal velocity below 0.1 m/s,7.811194653299917,%,2394,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Peak horizontal velocity,0.8181161289008835,m/s,2396,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,RMS horizontal velocity,0.28812097787034424,m/s,2396,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Peak absolute X velocity,0.4940972648011588,m/s,2396,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Peak absolute Y velocity,0.796874201454898,m/s,2396,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Maximum absolute pitch rate,2.7034463361814525,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,P99 absolute pitch rate,1.1317635734449316,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,P99 absolute yaw rate,162.71063156466002,degrees/s,1718,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Minimum roll angle,-6.184315907966527,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Maximum roll angle,4.3349065919915395,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Peak absolute roll angle,6.184315907966527,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Minimum relative pitch angle,-7.928469572423634,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Maximum relative pitch angle,2.248141185434296,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Maximum absolute pitch angle,7.055330063105829,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Maximum absolute yaw excursion,5.546861649916544,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Yaw range,7.522410754012728,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Median horizontal velocity,0.2199421187248749,m/s,2396,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,P95 horizontal velocity,0.49380562535353645,m/s,2396,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,RAW,flight_2026-07-01-14-34-13.bag,raw_flight_3,38.23,58.23,20.0,Percentage of time with horizontal velocity below 0.1 m/s,14.065108514190317,%,2396,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
