flight,bag_name,window_start_s,window_end_s
raw flight 1,flight_2026-07-01-13-45-38.bag,36.19,56.19
raw flight 2,flight_2026-07-01-13-47-24.bag,37.10,57.10
raw flight 3,flight_2026-07-01-13-49-14.bag,37.42,57.42
raw flight 4,flight_2026-07-01-13-51-01.bag,31.98,51.98
