flight,peak_horizontal_velocity_m_s,max_absolute_pitch_rate_rad_s,p99_absolute_pitch_rate_rad_s,pitch_range_deg,max_absolute_pitch_deg
raw flight 1,3.688661390159507,2.5236831282577006,1.7545861760903054,51.660116624654094,27.47780889328507
raw flight 2,4.163013145025909,2.557967016350297,1.973095789935925,54.847500005978375,27.711411844121827
raw flight 3,3.2559588776036823,1.7861586900962174,1.2264838183081392,37.740215397983626,19.59286988570048
raw flight 4,3.1322070932302197,2.5806186077870006,1.6243307048984121,43.136685931710375,23.546227161149094
