flight,bag_name,window_start_s,window_end_s
raw flight 1,flight_2026-07-01-13-55-52.bag,38.05,58.05
raw flight 2,flight_2026-07-01-13-58-03.bag,34.77,54.77
raw flight 3,flight_2026-07-01-14-00-00.bag,38.71,58.71
raw flight 4,flight_2026-07-01-14-01-56.bag,32.82,52.82
