duration_label,dataset,bag_name,evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,Maximum relative pitch angle,15.606815244390944,degrees,2401,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,Maximum absolute pitch angle,15.459758809597048,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,Maximum absolute yaw excursion,57.61941592317862,degrees,2401,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,AI,flight_2026-07-01-13-00-24.bag,ai_flight_2,38.07,58.07,20.0,Yaw range,80.76321331489994,degrees,2401,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Peak horizontal velocity,2.1315699296511172,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,RMS horizontal velocity,1.1720843680572242,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Peak absolute X velocity,1.0326522638017899,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Peak absolute Y velocity,1.9408324869504678,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Maximum absolute pitch rate,1.9023952647684572,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,P99 absolute pitch rate,1.0422375633013594,rad/s,1995,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,P99 absolute yaw rate,118.53794815359004,degrees/s,1693,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Minimum roll angle,-9.725111388376463,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Maximum roll angle,4.3309131579689195,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Peak absolute roll angle,9.725111388376463,degrees,2394,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Minimum relative pitch angle,-12.04273251966644,degrees,2394,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Maximum relative pitch angle,21.159332764966557,degrees,2394,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Maximum absolute pitch angle,20.521909127718246,degrees,2394,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Maximum absolute yaw excursion,98.31408258552074,degrees,2394,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,AI,flight_2026-07-01-13-02-26.bag,ai_flight_3,39.44,59.44,20.0,Yaw range,119.84729388482779,degrees,2394,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Peak horizontal velocity,2.345336929203466,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,RMS horizontal velocity,1.3020317493220945,m/s,2399,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Peak absolute X velocity,1.983094587556542,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Peak absolute Y velocity,2.271905756498054,m/s,2399,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Maximum absolute pitch rate,2.4732893500590976,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,P99 absolute pitch rate,1.3783966621547452,rad/s,1996,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,P99 absolute yaw rate,160.12541501347653,degrees/s,1728,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> unwrapped yaw; retained header.stamp finite-difference derivative
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Minimum roll angle,-26.854988337184707,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Maximum roll angle,7.7172722921872206,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Peak absolute roll angle,26.854988337184707,degrees,2400,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Minimum relative pitch angle,-21.751099527524165,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Maximum relative pitch angle,13.587066873106664,degrees,2400,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Maximum absolute pitch angle,22.445933468544496,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Maximum absolute yaw excursion,130.18217891208624,degrees,2400,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
20s,AI,flight_2026-07-01-13-04-27.bag,ai_flight_4,36.31,56.31,20.0,Yaw range,156.14014382769506,degrees,2400,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
20s,AI,flight_2026-07-01-13-06-42.bag,ai_flight_5,31.78,51.78,20.0,Peak horizontal velocity,2.075899970745801,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-13-06-42.bag,ai_flight_5,31.78,51.78,20.0,RMS horizontal velocity,0.9679933821389094,m/s,2393,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
20s,AI,flight_2026-07-01-13-06-42.bag,ai_flight_5,31.78,51.78,20.0,Peak absolute X velocity,1.303185415006305,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
20s,AI,flight_2026-07-01-13-06-42.bag,ai_flight_5,31.78,51.78,20.0,Peak absolute Y velocity,2.068544121355438,m/s,2393,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
