evaluation_window,window_start_s,window_end_s,window_duration_s,metric,value,unit,sample_count,topic,fields
ai_flight_1,41.14,71.14,30,Peak horizontal velocity,6.14323323,m/s,3591,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,41.14,71.14,30,RMS horizontal velocity,3.31689178,m/s,3591,/vrpn_client_node/AIIMU1/twist,"cleaned twist.linear.x, cleaned twist.linear.y"
ai_flight_1,41.14,71.14,30,Peak absolute X velocity,1.38360265,m/s,3591,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.x
ai_flight_1,41.14,71.14,30,Peak absolute Y velocity,6.02726591,m/s,3591,/vrpn_client_node/AIIMU1/twist,cleaned twist.linear.y
ai_flight_1,41.14,71.14,30,Maximum absolute pitch rate,4.96618667,rad/s,2984,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,41.14,71.14,30,P99 absolute pitch rate,3.99793009,rad/s,2984,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> pitch; retained header.stamp resampling; 11-point cubic Savitzky-Golay derivative
ai_flight_1,41.14,71.14,30,Minimum roll angle,-9.65640445,degrees,3593,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,41.14,71.14,30,Maximum roll angle,7.47216315,degrees,3593,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,41.14,71.14,30,Peak absolute roll angle,9.65640445,degrees,3593,/vrpn_client_node/AIIMU1/pose,pose.orientation quaternion -> roll
ai_flight_1,41.14,71.14,30,Minimum relative pitch angle,-51.5858093,degrees,3593,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,41.14,71.14,30,Maximum relative pitch angle,23.2358021,degrees,3593,/vrpn_client_node/AIIMU1/pose,"pose.orientation quaternion -> pitch, relative to initial pitch"
ai_flight_1,41.14,71.14,30,Maximum absolute pitch angle,38.3363186,degrees,3593,/vrpn_client_node/AIIMU1/pose,abs(pitch from pose.orientation quaternion)
ai_flight_1,41.14,71.14,30,Maximum absolute yaw excursion,9.01710833,degrees,3593,/vrpn_client_node/AIIMU1/pose,abs(unwrapped yaw - initial unwrapped yaw)
ai_flight_1,41.14,71.14,30,Yaw range,11.7348054,degrees,3593,/vrpn_client_node/AIIMU1/pose,maximum relative unwrapped yaw - minimum relative unwrapped yaw
