flight,peak_horizontal_velocity_m_s,max_absolute_pitch_rate_rad_s,p99_absolute_pitch_rate_rad_s,pitch_range_deg,max_absolute_pitch_deg
ai flight 1,6.1432332313313225,4.966186670919977,3.9979300879462714,74.821611432037,38.33631856724763
ai flight 2,5.742377150834977,5.311775211435096,4.2524449243339655,73.62773111268729,37.182840957051866
ai flight 3,6.268866504389332,5.2020606596442125,4.226977323577794,76.26000315823805,38.64658448868344
ai flight 4,5.64062603328594,5.260681709621885,3.9797786090109835,73.82546947823604,37.11175225132614
