flight,bag_name,window_start_s,window_end_s
raw flight 1,flight_2026-07-01-13-33-34.bag,38.48,58.48
raw flight 2,flight_2026-07-01-13-36-16.bag,34.54,54.54
raw flight 3,flight_2026-07-01-13-38-39.bag,36.91,56.91
