flight,peak_horizontal_velocity_m_s,max_absolute_pitch_rate_rad_s,p99_absolute_pitch_rate_rad_s,pitch_range_deg,max_absolute_pitch_deg
ai flight 1,5.480107602111812,3.8792386711572284,3.3088606417179576,73.50785547318586,37.13326135606394
ai flight 2,4.21188139713323,2.627197355945684,2.3639874884004,65.87771373979835,35.96157229547812
ai flight 3,5.188529332275507,3.6889602592293596,3.078961995743543,71.92965902758966,36.51717141196999
ai flight 4,5.135643090268246,4.041865329019815,3.2999432329569136,72.22487919973315,36.16110009851164
