flight,peak_horizontal_velocity_m_s,max_absolute_pitch_rate_rad_s,p99_absolute_pitch_rate_rad_s,pitch_range_deg,max_absolute_pitch_deg
ai flight 1,6.1432332313313225,4.945574405511682,3.748778013732769,74.71091268436956,38.33631856724763
ai flight 2,5.742377150834977,5.30681572430994,4.200905652034503,71.99209219767637,36.44489015563543
ai flight 3,6.268866504389332,4.989824218016873,3.930039966592597,76.26000315823805,38.64658448868344
ai flight 4,5.303756735880221,5.145724613761393,3.8130425250817166,73.33599013820243,37.02914607837848
